,Unnamed: 0,OBJECTID,Shape,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date,elev_files
1078,5254,4613267,"(-122.6522, 47.28410000000008)",seattlepi,http://www.seattlepi.com/local/6420ap_wa_storm_damage.html,1302,2009-11-16 00:00:00,,"Gig Harbor, Washington","At Gig Harbor a mudslide knocked down a garage and buried two cars. Two residents of the house escaped unharmed. High winds knocked down trees in parts of Western Washington as the smaller of two forecast rain storms blew through Western Washington Monday blowing in the 40 mph to 60 mph range. At 2 a.m. Monday, tons of rock and mud smashed a garage and cars, and narrowly missed a home.  Other residents wondered whether a water pipe broke overnight, triggering the mud slide. But Peninsula Light believes heavy rains released more water than the hillside could hold. The steep slope on 29th Street Court Northwest near Shawnee Drive gave way around 1:30 am., causing hundreds of yards of dirt and mud to crash into the garage of a two-story home.","Gig Harbor, Washington",1km,mudslide,downpour,small,unknown,0.0,,,,,GLC,1302.0,47.2841,-122.6522,United States,US,Washington,Tacoma Narrows,5.96,2014-04-01 00:00:00,2021-04-10 04:47:09,1078.tiff
1079,5256,4613269,"(-120.79329999999999, 45.64620000000008)",Oregon DOT,,8297,2014-09-24 17:00:00,17:00,"US 97, milepost 3",,"US 97, milepost 3",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8297.0,45.6462,-120.7933,United States,US,Oregon,Biggs,2.3,2016-07-05 19:26:50,2021-04-10 04:48:47,1079.tiff
1080,5262,4613275,"(-110.96329999999995, 43.50040000000007)",Teton County Sheriff's Office,https://m.facebook.com/tetonwyosheriff?sectionLoadingID=m_timeline_loading_div_1464764399_0_36_timeline_unit%3A1%3A00000000001462819764%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001462819764%3A04611686018427387904%3A09223372036854775798%3A04611686018427387904&timeend=1464764399&timestart=0&tm=AQCXyvUwHflvfOpn&refid=17,7710,2016-05-08 23:00:00,23:00,Teton Pass,"There is a rock slide on Teton Pass, just east of the summit at mile post 11. The west bound lane is blocked with softball to volleyball sized rocks. Highway Patrol is on scene and a plow is on the way to clear the slide. For updated information, please visit wyoroad.info and drive safe!",Teton Pass,25km,rock_fall,rain,small,above_road,0.0,0.0,,,,GLC,7710.0,43.5004,-110.9633,United States,US,Wyoming,Jackson,16.5,2016-05-25 21:32:06,2021-04-10 04:42:16,1080.tiff
1081,5276,4613289,"(-123.55329999999998, 42.35250000000008)",Oregon DOT,,8539,2012-11-29 13:00:00,13:00,"US 199, milepost 13.8",,"US 199, milepost 13.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8539.0,42.3525,-123.5533,United States,US,Oregon,Wilderville,8.72,2016-07-07 14:59:42,2021-04-10 04:49:36,1081.tiff
1082,5284,4613297,"(-121.21289999999999, 45.673100000000034)",Oregon Alive The  Oregonian,http://www.oregonlive.com/roadreport/index.ssf/2014/02/landslide_near_lyle_briefly_cl.html#http://www.oregonlive.com/roadreport/index.ssf/2014/02/landslide_near_lyle_briefly_cl.html,5865,2014-02-13 09:00:00,09:00,"Lewis and Clark Hwy Lyle, WA 98635","A landslide along State Route 14 in Washington state near Lyle briefly closed the highway Thursday morning, but crews quickly cleared the roadway, according to Washington State Department of Transportation.","Lewis and Clark Hwy Lyle, WA 98635",25km,landslide,unknown,large,above_road,0.0,0.0,,,,GLC,5865.0,45.6731,-121.2129,United States,US,Washington,The Dalles Municipal,7.08,2014-08-24 00:00:00,2021-04-10 04:38:14,1082.tiff
1083,5290,4613303,"(-116.74689999999998, 33.06810000000007)",East County Magazine,http://www.eastcountymagazine.org/rockslides,7231,2015-07-19 00:00:00,,Old Julian Highway just west of Old Camel Dairy,Old Julian Highway just west of Camel Dairy: road blocked both ways by rocks,Old Julian Highway just west of Old Camel Dairy,1km,landslide,downpour,small,above_road,0.0,0.0,,,,GLC,7231.0,33.0681,-116.7469,United States,US,California,Santa Ysabel,8.2,2015-07-20 15:54:45,2021-04-10 04:46:21,1083.tiff
1084,5291,4613304,"(-114.64319999999998, 46.331800000000044)",spokesman,http://www.spokesman.com/blogs/outdoors/2011/aug/03/some-late-opening-forest-roads-choked-blowdowns-landslides/,3873,2011-08-02 00:00:00,,"Blodgett Pass Trail, Elk Summit area, Idaho/Montana border in the Selway-Bitterroot Wilderness, ID","Blodgett Pass Trail out of the Elk Summit area (on the Idaho/Montana border in the Selway-Bitterroot Wilderness) is hazardous and not passable, this is the trail that connects into Blodgett Canyon out of the Bitterroot Valley. Carol Hennessey, Trails Program Leader for the Nez Perce-Clearwater National Forests, said, “It appears this trail has been “buried” by a debris slide–crews probably won't be able to open/repair this trail immediately.”","Blodgett Pass Trail, Elk Summit area, Idaho/Montana border in the Selway-Bitterroot Wilderness, ID",50km,debris_flow,rain,small,unknown,0.0,,,,,GLC,3873.0,46.3318,-114.6432,United States,US,Idaho,Bitterroot Range,32.42,2014-04-01 00:00:00,2021-04-10 04:38:14,1084.tiff
1085,5295,4613308,"(-111.15479999999997, 39.51660000000004)",www.sltrib.com,http://www.sltrib.com/sltrib/news/56678877-78/county-emery-milepost-road.html.csp,5248,2013-08-01 00:00:00,,"Pole Canyon, Ut","State Road 31 in Emery County was closed Thursday from milepost 34, which is about 15 miles northwest of Huntington, to milepost 23 due to a mud slide and debris flow, according to the Utah Department of Transportation. There is currently no estimated time for re-opening and motorists are advised to use alternate routes of travel. The same section of highway was closed on July 16 and again on July 18 due to flood debris caused by heavy rains. The two slide areas are at Nuck Woodward Canyon, at milepost 29, and Pole Canyon, at milepost 31, according to Janalee Luke of the Emery County SheriffÕs Office. UDOT Spokesman Adan Carrillo said crews did not have a firm estimate on when the road would be reopened but that they hoped to have the area cleared by late Thursday night. The area is near where the so-called Seeley Fire last year burned nearly 50,000 acres of forest land. The National Weather Service has issued a flash flood warning, in effect until 5:30 p.m., for northwestern Emery and","Pole Canyon, Ut",1km,mudslide,downpour,small,unknown,0.0,,,,,GLC,5248.0,39.5166,-111.1548,United States,US,Utah,Mt. Pleasant,25.79,2014-04-01 00:00:00,2021-04-10 04:41:29,1085.tiff
1086,5296,4613309,"(-123.85969999999998, 44.39980000000003)",Oregon DOT,,8045,2015-12-20 05:00:00,05:00,"OR 34, milepost 12.8",,"OR 34, milepost 12.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8045.0,44.3998,-123.8597,United States,US,Oregon,Tidewater,2.47,2016-06-30 18:25:02,2021-04-10 04:45:33,1086.tiff
1087,5298,4613311,"(-122.06949999999995, 47.53260000000006)",issaquahpress,http://www.issaquahpress.com/2010/12/14/county-credits-land-use-policies-for-limiting-weather-related-damage/,2842,2010-12-12 00:00:00,,"Talus st., Issaquah, WA","Dec. 14, 2010  King County Executive Dow Constantine credited land-use policies for helping to limit damage from flooding and landslides in recent days.  …  City crews responded to a mudslide on a Talus street Sunday.","Talus st., Issaquah, WA",1km,mudslide,downpour,small,unknown,0.0,,,,,GLC,2842.0,47.5326,-122.0695,United States,US,Washington,Issaquah,2.68,2014-04-01 00:00:00,2021-04-10 04:45:33,1087.tiff
1088,5300,4613313,"(-119.80859999999996, 36.39690000000007)",kmph,http://www.kmph.com/Global/story.asp?S=11861897,1433,2010-01-21 00:00:00,,"SR 41, just south of the Kings County /Kern County Line, California","There's another road closure to report, due to damage from this week's storm system. SR 41, just south of the Kings County /Kern County Line, has been shut down due to rock/mudslides in the area. This includes southbound SR-33 and northbound at SR-46. CHP crews expect it will take at least three hours before the road reopens as crews work to clean up the damage.","SR 41, just south of the Kings County /Kern County Line, California",5km,mudslide,downpour,small,unknown,0.0,,,,,GLC,1433.0,36.3969,-119.8086,United States,US,California,Lemoore,10.95,2014-04-01 00:00:00,2021-04-10 04:40:41,1088.tiff
1089,5302,4613315,"(-123.65249999999997, 43.66910000000007)",Oregon DOT,,8011,2016-01-19 08:00:00,08:00,"OR 38, milepost 28.5",,"OR 38, milepost 28.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8011.0,43.6691,-123.6525,United States,US,Oregon,Elkton,8.24,2016-06-30 17:23:57,2021-04-10 04:43:03,1089.tiff
1090,5303,4613316,"(-73.19879999999995, 43.621800000000064)",WPTZ - News Channel 5,http://www.wptz.com/news/Rockslide-in-Castleton-spills-onto-highway/35771878,8681,2015-10-10 17:00:00,17:00,"along U.S. Highway 4 in Castleton, VT",A rockslide along U.S. Highway 4 in Castleton Saturday spilled onto the lanes of the road. Witnesses tell WPTZ one and a half lanes of the westbound side of the highway were covered by rocks after the slide at around 5:15 p.m.  Vermont State Police responded soon afterward to stop traffic.  Troopers say the scene was cleared and there was no damage to cars or injuries to anyone.,"along U.S. Highway 4 in Castleton, VT",1km,rock_fall,unknown,small,above_road,0.0,0.0,,http://www.wptz.com/image/view/-/35772056/medRes/1/-/maxh/358/maxw/538/-/qd2ciaz/-/castleton-rockslide-3-jpeg.jpg,,GLC,8681.0,43.6218,-73.1988,United States,US,Vermont,Fair Haven,6.16,2016-07-07 19:20:53,2021-04-10 04:41:29,1090.tiff
1091,5311,4613324,"(-122.72509999999994, 45.71300000000008)",King 5,http://www.king5.com/story/news/local/2015/02/07/mudslides-halt-seattle-everett-passenger-train-service/23047723/,6751,2015-02-06 07:00:00,07:00,BNSF Railway main line in the Felida area,"Another landslide also affected Amtrak service between Kelso, Washington and Portland, Ore.",BNSF Railway main line in the Felida area,50km,landslide,rain,medium,above_road,0.0,0.0,,,,GLC,6751.0,45.713,-122.7251,United States,US,Washington,Pearson Airpark,11.56,2015-02-09 22:52:57,2021-04-10 04:41:29,1091.tiff
1092,5314,4613327,"(-86.89309999999995, 36.07390000000004)",wsmv,http://www.wsmv.com/weather/23466992/detail.html,1806,2010-05-02 00:00:00,,"Along Highway 100, Percy Warner Park, Nashville, TN","Hall is all smiles now, but not so much this past weekend when the rain kept coming.  Just a few furlongs from the track, along Highway 100, a mudslide wiped out trees and made a major mess. But trackside, everything is perfect.","Along Highway 100, Percy Warner Park, Nashville, TN",1km,landslide,downpour,small,unknown,0.0,,,,,GLC,1806.0,36.0739,-86.8931,United States,US,Tennessee,John C Tune,12.01,2014-04-01 00:00:00,2021-04-10 04:46:21,1092.tiff
1093,5315,4613328,"(-118.45072399999998, 34.13161100000008)",CBS Los Angeles,http://losangeles.cbslocal.com/2017/03/08/mudslide-caused-by-water-line-break-blocks-mulholland-drive/,10419,2017-03-08 09:00:00,09:00,Mulholland Drive Mudslide Caused by Water Line Break,A water line break caused flooding and a small mudslide on part of Mulholland Drive in the Hollywood Hills Wednesday.,"8700 Mulholland Dr, Sherman Oaks, CA 91403",exact,mudslide,leaking_pipe,small,above_road,0.0,0.0,,https://pbs.twimg.com/media/C6alVRTVAAAlhXT.jpg:large,,GLC,,34.131611,-118.450724,United States,US,California,Van Nuys,9.38,2017-10-06 17:03:46,2021-04-10 04:41:29,1093.tiff
1094,5325,4613338,"(-118.99989999999997, 43.661200000000065)",Oregon DOT,,8456,2013-08-23 04:00:00,04:00,"US 395, milepost 64",,"US 395, milepost 64",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8456.0,43.6612,-118.9999,United States,US,Oregon,Burns Municipal,8.63,2016-07-06 17:44:56,2021-04-10 04:49:36,1094.tiff
1095,5328,4613341,"(-122.31969999999995, 47.91280000000006)",mukilteobeacon.villagesoup,http://mukilteobeacon.villagesoup.com/p/mudslide-cause-for-emergency-repairs/946244#.UXqZNbWcfOc,4661,2012-12-17 00:00:00,,63rd place W. Mukilteo,"A mudslide occurred on Dec. 17 near the intersection of 92nd Street S.W. and 63rd Place W. that pulled a storm line from a catch basin, ...",63rd place W. Mukilteo,1km,landslide,rain,medium,unknown,,,,,,GLC,4661.0,47.9128,-122.3197,United States,US,Washington,Snohomish County Paine Field,2.8,2014-04-01 00:00:00,2021-04-10 04:42:16,1095.tiff
1096,5337,4613350,"(-122.07759999999996, 45.589000000000055)",Oregon DOT,,8279,2014-11-21 21:00:00,21:00,"Historic Columbia River Highway, milepost 20",,"Historic Columbia River Highway, milepost 20",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8279.0,45.589,-122.0776,United States,US,Oregon,Skamania,4.97,2016-07-05 18:58:24,2021-04-10 04:41:29,1096.tiff
1097,5342,4613355,"(-122.76169999999996, 45.57740000000007)",Oregon DOT,,8718,2012-01-19 10:00:00,10:00,"US 30, milepost 6.4",,"US 30, milepost 6.4",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8718.0,45.5774,-122.7617,United States,US,Oregon,Pearson Airpark,9.56,2016-07-08 14:09:49,2021-04-10 04:46:21,1097.tiff
1098,5349,4613362,"(-115.60429999999997, 43.42050000000006)",magicvalley.com,http://magicvalley.com/news/local/fire-mudslide-transform-south-fork-of-boise-river/article_50a2c0b0-313f-11e3-af0a-001a4bcf887a.html,5516,2013-09-12 00:00:00,,"South Fork Canyon‎, Boise National Forest, Idaho","The South Fork of the Boise River wonÕt look like we remembered, but the area is far from doomed. This will be a landmark year for the river, a popular attraction for anglers, rafters and others located about 40 miles southeast of Boise. Many people may now describe the area in terms of pre- and post-2013. A wildfire burned through much of the South Fork canyon in mid-August, blackening the slopes, scorching the riverÕs cottonwood stands and exposing thousands of acres of bare soil. Then, on Sept. 12, a thunderstorm dumped about a half inch of rain on the upper slopes north of the river and caused five mudslides in the prime fishing and recreation area between Anderson Ranch Dam and the Danskin boat launch about 10 miles downstream. The combination of wildfire and slides have changed the river and the canyon Ñ and this could just be the start of it. After talking to numerous experts about the fires and slides, thereÕs no consensus on what the future holds because the changes are still ","South Fork Canyon‎, Boise National Forest, Idaho",25km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,5516.0,43.4205,-115.6043,United States,US,Idaho,Prairie,9.56,2014-04-01 00:00:00,2021-04-10 04:41:29,1098.tiff
1099,5350,4613363,"(-75.32655899999997, 40.07073600000007)",CBS Philly,http://philadelphia.cbslocal.com/2016/09/20/no-relief-in-sight-for-motorists-dealing-with-closure-of-balligomingo-road/,10034,2016-09-20 00:00:00,,Balligomingo Road Mudslide,"A popular alternative to the Schuylkill Expressway, between Gulph Mills and Conshocken remains closed, more than a year after a mudslide poured debris on the road surface.","Balligomingo Road, Pennsylvania",1km,mudslide,rain,medium,above_road,0.0,0.0,,,,GLC,,40.070736,-75.32655899999999,United States,US,Pennsylvania,Philadelphia,18.36,2017-07-11 14:24:16,2021-04-10 04:43:03,1099.tiff
1100,5353,4613366,"(-122.43719999999996, 47.40670000000006)",The Seattle Times,http://seattletimes.com/html/localnews/2023068095_wetweatherxml.html#http://seattletimes.com/html/localnews/2023068095_wetweatherxml.html,5924,2014-03-05 08:00:00,08:00,"22011-22299 Dockton Rd SW Vashon, WA 98070","Among the affected roads in King County was Vashon Island’s Dockton Road, on the narrow strip of land connecting Vashon and Maury islands. The road was covered by a mudslide about 8:30 p.m. Wednesday. Ogershok said crews hoped to reopen the road by late Thursday.More than half this week’s rain fell Wednesday.","22011-22299 Dockton Rd SW Vashon, WA 98070",1km,mudslide,continuous_rain,medium,above_road,0.0,0.0,,,,GLC,5924.0,47.4067,-122.4372,United States,US,Washington,Seattle Tacoma International,10.91,2014-08-24 00:00:00,2021-04-10 04:43:03,1100.tiff
1101,5354,4613367,"(-123.58569999999997, 38.81000000000006)",mercurynews,http://www.mercurynews.com/top-stories/ci_17722388,3306,2011-03-27 23:00:00,23:00,"Highway 1 near Anchor Bay, CA","Farther up the California Coast in Mendocino County, a fallen redwood tree and rockslide closed a stretch of Highway 1 near Anchor Bay on Sunday night, the California Highway Patrol said.  The Santa Rosa Press Democrat said the highway was cleared by 6:30 a.m. Monday, but authorities were monitoring ","Highway 1 near Anchor Bay, CA",5km,rock_fall,downpour,small,unknown,0.0,,,,,GLC,3306.0,38.81,-123.5857,United States,US,California,Gualala,7.47,2014-04-01 00:00:00,2021-04-10 04:39:04,1101.tiff
1102,5355,4613368,"(-121.47879999999998, 46.20780000000008)",Yamika Herald,http://www.yakimaherald.com/news/local/four-day-search-of-mt-adams-leaves-searchers-injured-equipment/article_c34f901e-4ec6-11e6-b701-5b696b52d784.html,9104,2016-07-18 00:00:00,,"Mount Adams, Washington, USA","Four-day search of Mt. Adams leaves searchers injured, equipment damaged, but still no sign of missing hiker. On Monday, a member of the Tacoma Mountain Rescue team was traversing a steep slope when a large section of rocks broke loose and started a rockslide. The searcher was struck in the leg, arm and ribs. Efforts to evacuate him by helicopter were delayed until Tuesday because of the harsh weather. The man suffered an ankle fracture and other injuries to his ribs and right hand, but is now recovering at home, Briscoe said.","Mount Adams, Washington, USA",5km,rock_fall,snowfall_snowmelt,medium,natural_slope,0.0,1.0,,,,GLC,9104.0,46.2078,-121.4788,United States,US,Washington,Mount Adams,2.61,2016-07-21 17:28:50,2021-04-10 04:42:16,1102.tiff
1103,5362,4613375,"(-118.02759999999995, 34.18280000000004)",abclocal.go,http://abclocal.go.com/kabc/story?section=weather&id=7982230,3150,2011-02-25 23:00:00,23:00,"Santa Anita Canyon rd, Arcadia","BURBANK, Calif. (KABC) -- There have been all kinds of weather Saturday, everything except thunder and lightning.   …  In Arcadia Santa Anita Canyon Road has been closed due to the storm unleashing a mudslide Friday night. ","Santa Anita Canyon rd, Arcadia",5km,mudslide,downpour,medium,unknown,0.0,,,,,GLC,3150.0,34.1828,-118.0276,United States,US,California,El Monte,10.75,2014-04-01 00:00:00,2021-04-10 04:46:21,1103.tiff
1104,5363,4613376,"(-81.36689999999999, 38.19350000000003)",Charleston Gazette,http://www.wvgazette.com/article/20150304/GZ01/150309656,6823,2015-03-04 21:00:00,21:00,at London Locks and Dam on U.S. Route 60,"A Kanawha County Metro 911 dispatcher said there were two rockslides, one on Penn Avenue near the Mink Shoals exit and one at London Locks and Dam on U.S. Route 60, at about 9 p.m.",at London Locks and Dam on U.S. Route 60,5km,other,rain,medium,above_road,0.0,0.0,,,,GLC,6823.0,38.1935,-81.3669,United States,US,West Virginia,Cedar Grove,6.18,2015-03-10 17:44:23,2021-04-10 04:47:09,1104.tiff
1105,5364,4613377,"(-83.47709999999995, 37.34860000000003)",WYMT TV 57  Mountain news,http://www.wkyt.com/wymt/home/headlines/Mudslide-pushes-Buckhorn-home-off-foundations-248308991.html#http://www.wkyt.com/wymt/home/headlines/Mudslide-pushes-Buckhorn-home-off-foundations-248308991.html,5917,2014-03-04 00:00:00,,"Witherspoon Way Buckhorn, KY 41721",Treacherous roads and power outages were not the only the problems brought by the winter storm.A mud slide pushed a home in the Buckhorn community of Perry County off its foundation.,"Witherspoon Way Buckhorn, KY 41721",5km,mudslide,continuous_rain,large,above_road,0.0,0.0,,,,GLC,5917.0,37.3486,-83.4771,United States,US,Kentucky,Eastern Kentucky Regional,19.37,2014-08-24 00:00:00,2021-04-10 04:47:57.000001,1105.tiff
1106,5366,4613379,"(-82.56399999999996, 37.248200000000054)",thelevisalazer,http://www.thelevisalazer.com/2010/05/03/high-waters-cover-18-roads-in-lawrence-county-school-delayed-2-hours/,1829,2010-05-03 00:00:00,,"KY 805, Pike County, KY","Also in Pike County, KY 805 was partially blocked by two or three small slides. ","KY 805, Pike County, KY",5km,mudslide,downpour,small,unknown,0.0,,,,,GLC,1829.0,37.2482,-82.564,United States,US,Kentucky,Jenkins,11.2,2014-04-01 00:00:00,2021-04-10 04:39:53,1106.tiff
1107,5371,4613384,"(-149.12009999999998, 64.00560000000007)",www.newsminer.com,http://www.newsminer.com/news/local_news/alaska-rail-service-will-return-to-normal-after-landslide/article_4f4e58c4-0a33-11e3-a3ba-001a4bcf6878.html,5356,2013-08-18 00:00:00,,"Healy Canyon, Alaska","Rail service through Healy Canyon is expected to return to normal later this week after a landslide forced trains to slow down. The slide was reported about a half mile south of the canyonÕs north bridge, Tim Sullivan, Alaska Railroad Corp.Õs External Affairs Manager. ÒIt happened on Sunday, so weÕve been having reduced speed through Healy Canyon since then and expect to have it repaired in the next few days,Ó he said. ÒWe will have them back up to speed later this week.Ó The slide appeared on a talus slope below the railroad track, between it and the Nenana River. Sullivan said the railroad has dropped 60 car loads of riprap, large boulders designed to slow erosion, in the affected area. Each car contained about 50 or 60 tons of material. The 12-hour passenger ride between Fairbanks and Anchorage runs twice per day and Sullivan said the impact on the overall time of the ride is minimal. ÒItÕs slowing down our passenger service but not extensively,Ó he said. ÒItÕs slow going through th","Healy Canyon, Alaska",1km,landslide,downpour,medium,unknown,0.0,,,,,GLC,5356.0,64.0056,-149.1201,United States,US,Alaska,Ferry,1.96,2014-04-01 00:00:00,2021-04-10 04:44:41,1107.tiff
1108,5383,4613396,"(-91.20059999999995, 43.57350000000008)",news.wpr.org,http://news.wpr.org/post/walker-requests-federal-aid-flood-damaged-counties,4980,2013-06-25 10:00:00,10:00,"Highway 56 Near Genoa, Wi",Governor Scott Walker is asking for federal funds to reimburse communities for infrastructure repair after heavy rains in late June.,"Highway 56 Near Genoa, Wi",25km,rock_fall,downpour,medium,unknown,,,,,,GLC,4980.0,43.5735,-91.2006,United States,US,Wisconsin,Lansing,23.62,2014-04-01 00:00:00,2021-04-10 04:43:52.000001,1108.tiff
1109,5386,4613399,"(-123.16729999999995, 45.96050000000008)",Oregon DOT,,8394,2014-02-12 04:00:00,04:00,"OR 47, milepost 52",,"OR 47, milepost 52",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8394.0,45.9605,-123.1673,United States,US,Oregon,Mist,6.84,2016-07-06 15:26:07,2021-04-10 04:47:09,1109.tiff
1110,5392,4613405,"(-92.08329999999995, 36.91180000000003)",news-leader,http://www.news-leader.com/article/20110501/NEWS01/110501008/1007/Slide-causes-road-closure-near-Noblett-Lake,3441,2011-04-30 00:00:00,,"Route AP, near Noblett Lake, Howell county, MO","5:57 PM, May. 1, 2011  |  A landslide near Noblett Lake in Howell County has closed a nearby state road, according to the Mark Twain National Forest.  The 50-foot-wide slide on Route AP near the lake’s day use area will cause a closure of the road until the ground dries and debris can be removed, according to a news release. Barricades have been placed on the road to stop traffic from going through the slide area.  The area is southwest of Willow Springs.","Route AP, near Noblett Lake, Howell county, MO",5km,landslide,downpour,medium,unknown,0.0,,,,,GLC,3441.0,36.9118,-92.0833,United States,US,Missouri,Willow Springs,13.72,2014-04-01 00:00:00,2021-04-10 04:39:04,1110.tiff
1111,5393,4613406,"(-83.95259999999996, 36.61950000000007)",thenewsjournal.net,http://thenewsjournal.net/details/7235/Wet-weather-forces-county-road-crews-to-tackle-pair-of-mudslides#comments,4863,2013-05-13 00:00:00,,"Tiny Branch Road, Frakes, Ky,","Road crews cleaned up this mudslide on Tiny Branch Road Monday. It was the second big mudslide this past week they had to remove from rural roadways.County road crews worked diligently last week and into this week to deal with a pair of mudslides the spilled across local roadways, trapping residents in for a short time who live on one local rural roadway.","Tiny Branch Road, Frakes, Ky,",50km,landslide,downpour,medium,unknown,,,,,,GLC,4863.0,36.6195,-83.9526,United States,US,Kentucky,Jellico,16.3,2014-04-01 00:00:00,2021-04-10 04:47:09,1111.tiff
1112,5394,4613407,"(-73.88959999999997, 40.93870000000004)",NBC,http://www.nbcnewyork.com/news/local/Mudslide-Yonkers-Evacuation-Police-Westchester-295947681.html,6854,2015-03-10 13:00:00,13:00,the old Croton Aqueduct,"Thomas Fitzpatrick of the Yonkers Fire Department told NBC 4 New York over-saturated ground from the recent snow melt likely caused it. Water was leaking from a pipe in another building, which further undermined the ground, authorities said.",the old Croton Aqueduct,exact,mudslide,unknown,small,retaining_wall,0.0,0.0,,http://cdn2.dailyvoice.com/sites/default/files/imagecache/Slideshow/article/images/2015/03/11/img_9551.jpg,,GLC,6854.0,40.9387,-73.8896,United States,US,New York,Teterboro,17.48,2015-03-27 18:37:57,2021-04-10 04:41:29,1112.tiff
1113,5408,4613421,"(-123.82569999999998, 44.06170000000003)",Oregon DOT,,8142,2015-12-04 20:00:00,20:00,"OR 36, milepost 6.8",,"OR 36, milepost 6.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8142.0,44.0617,-123.8257,United States,US,Oregon,Florence Municipal,24.43,2016-07-01 15:33:16,2021-04-10 04:40:41,1113.tiff
1114,5410,4613423,"(-113.95909999999998, 48.54310000000004)",Billings Gazette,http://billingsgazette.com/news/state-and-regional/montana/landslide-closes-going-to-the-sun-for-a-second-time/article_fc19ec61-2f01-5af4-a3b9-0dfd962696fa.html,9306,2016-05-24 12:00:00,12:00,"Going-to-the-Sun Road about two miles north of Apgar Campground, Glacier National Park, Montana, USA","Going-to-the-Sun Road near Apgar remained open for just two hours Tuesday, before a noon landslide brought logs and debris tumbling across the pavement, blocking two culverts, diverting water, and “turning the road into a river” for about an hour, according to Glacier National Park spokeswoman Margie Steigerwald. The road has been closed since. Crews will continue clearing debris and open it again on Wednesday. Flooding had first briefly closed the road Monday, although it was later opened to a single lane before being shut down for the night. Steigerwald said it opened to two lanes of traffic at 10 a.m. Tuesday. Two hours later came the landslide, about two miles northeast of the Apgar Campground. “The area got four inches of rain in 48 hours,” Steigerwald said. “It’s just so saturated.” She described the latest incident as “a mudslide filled with logs” that “jammed two additional culverts.” Approximately 50 yards of the road became a river for about an hour, and portions of the shoul","Going-to-the-Sun Road about two miles north of Apgar Campground, Glacier National Park, Montana, USA",1km,mudslide,downpour,medium,above_road,0.0,0.0,,http://bloximages.chicago2.vip.townnews.com/billingsgazette.com/content/tncms/assets/v3/editorial/8/75/875de7ac-33bc-5e24-b0ce-6ac6f7256c69/5745d96e682f6.image.jpg,,GLC,9306.0,48.5431,-113.9591,United States,US,Montana,Apgar,3.62,2016-08-02 16:52:52,2021-04-10 04:42:16,1114.tiff
1115,5413,4613426,"(-111.79799999999994, 40.71180000000004)",ksl,http://www.ksl.com/?nid=148&sid=6163231,1007,2009-04-15 09:00:00,09:00,"Parley's Canyon, Salt Lake county, Utah (several small ones)","SALT LAKE COUNTY -- For the second day in a row, Utah is being pounded by wet weather, and it's causing a few problems in the canyons. A rockslide was also reported in Emigration Canyon Wednesday morning and several smaller ones could be seen in Parley's Canyon as well. ","Parley's Canyon, Salt Lake county, Utah (several small ones)",1km,rock_fall,rain,small,unknown,0.0,,,,,GLC,1007.0,40.7118,-111.798,United States,US,Utah,Salt Lake City International,16.37,2014-04-01 00:00:00,2021-04-10 04:43:03,1115.tiff
1116,5414,4613427,"(-123.96649999999994, 44.94380000000007)",kgw,http://www.kgw.com/news/local/Lincoln-City-slide-could-affect-water-114404999.html,3050,2011-01-21 00:00:00,,"water pipe on Schooner Creek rd, Lincoln, OR","January 21, 2011 at 9:05 pm  A landslide in Lincoln City has prompted a notice for people living in the area to be prepared for potential water issues.  The small slide on Schooner Creek Rd. occurred near the city's main water line.  The city said that the water is fine for now, but If the slide poses problems for crews, they may need to shut the line off and get water from the reservoir.","water pipe on Schooner Creek rd, Lincoln, OR",5km,landslide,downpour,small,unknown,0.0,,,,,GLC,3050.0,44.9438,-123.9665,United States,US,Oregon,Lincoln City,4.1,2014-04-01 00:00:00,2021-04-10 04:39:53,1116.tiff
